name,beer,bar
Andrew Ortega,Samuel Adams Black Lager,Cambridge Brewing
Ricky Norman,North Pleasant Pale Ale,Harpoon Brewery - Boston
Jeanette Griffin,Cascade IPA,Wachusetts Brewing Company
Jorge Graham,Ipswich Original Ale,Paper City Brewing Company
Ada Hanson,Sam Adams Light,Commonwealth Brewing #1
Matthew Marsh,Harpoon Ale,Harpoon Brewery - Boston
Eva Bowen,Samuel Adams Brown Ale,Watch City Brewing
Alejandro Adkins,Wheaten Ale,Boston Beer Company
Lloyd Love,Ipswich Harvest,Wachusetts Brewing Company
Polly Harrison,Samuel Adams Scotch Ale,Watch City Brewing
Lily Bryan,Massatucky Brown,John Harvard's Brew House - Harvard Square
Luis Nunez,Puffers Smoked Porter,Watch City Brewing
Edwin Sandoval,Olde #8 Anniversary Ale,New Century Brewing Company
Justin Hodges,Ipswich Summer,Commonwealth Brewing #1
Birdie Austin,UFO Raspberry Hefeweizen,Commonwealth Brewing #1
Henrietta Gardner,Samuel Adams Cream Stout,Wachusetts Brewing Company
Harriett Hansen,Righteous Red,Paper City Brewing Company
Gussie Steele,Samuel Adams Golden Pilsner,Wachusetts Brewing Company
Rena Brady,Bankers Gold,Cambridge Brewing
Andre Porter,Samuel Adams Hefeweizen,Brewery at Martha's Vineyard
Herman Brooks,Samuel Adams Winter Lager,John Harvard's Brew House - Framingham
Glenn Wise,Golden Ale,Boston Beer Company
Frances McKenzie,Ipswich Nut Brown,Buzzards Bay Brewing Inc.
Dean Gill,Samuel Adams Cranberry Lambic,Commonwealth Brewing #1
Maurice Kennedy,Half in the Bagpipe,Wachusetts Brewing Company
Luella Weber,Massatucky Brown,Boston Beer Works
Lura Fernandez,Ipswich Winter,Wachusetts Brewing Company
Stanley Lawrence,Harpoon Winter Warmer,Boston Beer Works
Lelia Hale,Puffers Smoked Porter,Mercury Brewing Company
Lucy Taylor,Harpoon Celtic Ale,Commonwealth Brewing #1
Owen Moody,Fenway American Pale Ale,Wachusetts Brewing Company
Luis Mendez,Ipswich Porter,John Harvard's Brew House - Framingham
Dora Roy,Green Monsta Ale,Mercury Brewing Company
Ellen Copeland,Bankers Gold,Element Brewing Company
Carrie Jenkins,Puffers Smoked Porter,Buzzards Bay Brewing Inc.
Helena Osborne,Righteous Red,Buzzards Bay Brewing Inc.
Eugenia Lawrence,Samuel Adams Blackberry Witbier,Commonwealth Brewing #1
Beatrice Bowen,Samuel Adams Summer Ale,Buzzards Bay Brewing Inc.
Emilie Hunter,Righteous Red,Cape Ann Brewing
Ethel Conner,Ipswich Oatmeal Stout,Brewery at Martha's Vineyard
Julian Rodriquez,Special Old Ale,Buzzards Bay Brewing Inc.
Leonard Hawkins,Holyoke Dam Ale,Buzzards Bay Brewing Inc.
Clyde Barrett,Samuel Adams Winter Lager,John Harvard's Brew House - Framingham
Lora Schneider,1084 Barleywine,Boston Beer Works
Danny Wilson,Ipswich Original Ale,Buzzards Bay Brewing Inc.
Cordelia Hudson,Samuel Adams Black Lager,Watch City Brewing
Annie Caldwell,Ipswich Original Ale,New Century Brewing Company
Craig Reid,Harpoon Celtic Ale,Boston Beer Works
Johanna Clark,Harpoon Winter Warmer,Buzzards Bay Brewing Inc.
Maude Bass,Dark Element,Element Brewing Company
Abbie Tate,Samuel Adams Honey Porter,Mercury Brewing Company
Isabel Gregory,Harpoon Munich Dark,Element Brewing Company
Leroy Diaz,Ipswich Porter,Boston Beer Company
Gene Ray,Wilmington Roggen Beer,Buzzards Bay Brewing Inc.
Marcus Cole,Samuel Adams Blackberry Witbier,Boston Beer Works
Bertha Wilkerson,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Boston Beer Company
Dollie Rowe,Edison Light Beer,Paper City Brewing Company
Vera Jefferson,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Cambridge Brewing
Ina Webb,Extra Stout,Cape Ann Brewing
Cory Miller,Samuel Adams White Ale,Brewery at Martha's Vineyard
Minnie Strickland,Samuel Adams Holiday Porter,Boston Beer Company
Nell Byrd,Righteous Red,Brewery at Martha's Vineyard
Connor Ruiz,Extra Stout,Cape Ann Brewing
Sarah Mullins,Ipswich Harvest,Boston Beer Works
Victoria Frank,Longshot American Pale Ale,Buzzards Bay Brewing Inc.
Gussie Carroll,Samuel Adams Imperial Stout,Cape Ann Brewing
Robert Todd,Hops Explosion IPA,Cape Ann Brewing
Viola Murphy,Ipswich Nut Brown,Brewery at Martha's Vineyard
Luella Morales,Olde Buzzard Lager,Cambridge Brewing
Ellen Munoz,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Boston Beer Company
Curtis Tran,Olde #8 Anniversary Ale,Buzzards Bay Brewing Inc.
Iva Briggs,Samuel Adams Coastal Wheat,Watch City Brewing
Iva Alvarez,Harpoon Leviathan,Wachusetts Brewing Company
Adeline Buchanan,Boston Red,Boston Beer Works
Ida Willis,Samuel Adams Irish Red,Element Brewing Company
Shane Allen,UFO Raspberry Hefeweizen,Watch City Brewing
Mabelle Greene,Golden Ale,John Harvard's Brew House - Framingham
Marcus Bailey,Ipswich Harvest,Cambridge Brewing
Sadie Patterson,Sam Adams Light,Commonwealth Brewing #1
Johnny Cooper,Samuel Adams Imperial Stout,Cambridge Brewing
John Leonard,Samuel Adams Utopias MMIV,Cape Ann Brewing
Lela Hughes,Samuel Adams Holiday Porter,Element Brewing Company
Gabriel Farmer,Ipswich Dark Ale,Brewery at Martha's Vineyard
Carrie Cortez,Samuel Adams Utopias MMIV,Brewery at Martha's Vineyard
Zachary Peterson,Wachusetts IPA,Paper City Brewing Company
Georgie Bush,Framingham Maibock,Commonwealth Brewing #1
Catherine Sharp,Samuel Adams Summer Ale,Commonwealth Brewing #1
Frederick Tran,Amber Ale,Commonwealth Brewing #1
Vera Paul,Classic Stout,Boston Beer Company
Johanna Martinez,North Pleasant Pale Ale,Brewery at Martha's Vineyard
Marian Harrington,Samuel Adams Cranberry Lambic,Boston Beer Works
Rosie Duncan,Lewmeister Oktoberfest,Watch City Brewing
Lloyd McKinney,Olde Buzzard Lager,Boston Beer Company
Theodore Rowe,Longshot Black Lager,Watch City Brewing
Raymond Drake,Patriots Pilsner,Cape Ann Brewing
Caleb Tran,Samuel Adams White Ale,Harpoon Brewery - Boston
Etta Warren,Samuel Adams Hefeweizen,New Century Brewing Company
Virginia Riley,Samuel Adams Utopias MMIV,Brewery at Martha's Vineyard
Mildred Becker,Raspberry Brown Ale,Brewery at Martha's Vineyard
Georgia McCormick,Righteous Red,Boston Beer Company
