n,a,m,e,",",b,e,e,r,",",b,a,r
Andrew Ortega,Samuel Adams Blackberry Witbier,Watch City Brewing
Ricky Norman,Samuel Adams Old Fezziwig Ale,Harpoon Brewery - Boston
Jeanette Griffin,Heather Ale,Paper City Brewing Company
Jorge Graham,Samuel Adams Chocolate Bock,New Century Brewing Company
Ada Hanson,Samuel Adams Spring Ale,Brewery at Martha's Vineyard
Matthew Marsh,Longshot Black Lager,New Century Brewing Company
Eva Bowen,Bankers Gold,John Harvard's Brew House - Harvard Square
Alejandro Adkins,Harpoon UFO Hefeweizen,Brewery at Martha's Vineyard
Lloyd Love,Harpoon Leviathan,Mercury Brewing Company
Polly Harrison,Graduation Ale,Commonwealth Brewing #1
Lily Bryan,Heather Ale,Watch City Brewing
Luis Nunez,Samuel Adams Winter Lager,Boston Beer Company
Edwin Sandoval,Cambridge Amber,Paper City Brewing Company
Justin Hodges,Samuel Adams White Ale,Cambridge Brewing
Birdie Austin,Samuel Adams Boston Ale,Boston Beer Company
Henrietta Gardner,Harpoon Winter Warmer,Boston Beer Works
Harriett Hansen,Special Old Ale,Mercury Brewing Company
Gussie Steele,Samuel Adams Noble Pils,Buzzards Bay Brewing Inc.
Rena Brady,Samuel Adams Black Lager,Boston Beer Works
Andre Porter,Lewmeister Oktoberfest,Harpoon Brewery - Boston
Herman Brooks,Samuel Adams Hefeweizen,Cambridge Brewing
Glenn Wise,Dark Element,Boston Beer Company
Frances McKenzie,Samuel Adams Black Lager,Wachusetts Brewing Company
Dean Gill,Samuel Adams Hefeweizen,John Harvard's Brew House - Framingham
Maurice Kennedy,Fenway American Pale Ale,Boston Beer Company
Luella Weber,Buckeye Oatmeal Stout,Buzzards Bay Brewing Inc.
Lura Fernandez,Samuel Adams Golden Pilsner,John Harvard's Brew House - Framingham
Stanley Lawrence,Samuel Adams Double Bock,New Century Brewing Company
Lelia Hale,Patriots Pilsner,Mercury Brewing Company
Lucy Taylor,Samuel Adams Coastal Wheat,New Century Brewing Company
Owen Moody,Samuel Adams Holiday Porter,Buzzards Bay Brewing Inc.
Luis Mendez,Harpoon Ale,Harpoon Brewery - Boston
Dora Roy,Samuel Adams Blackberry Witbier,Wachusetts Brewing Company
Ellen Copeland,IPA,Buzzards Bay Brewing Inc.
Carrie Jenkins,Harpoon Leviathan,Brewery at Martha's Vineyard
Helena Osborne,Samuel Adams Double Bock,Boston Beer Works
Eugenia Lawrence,Samuel Adams Summer Ale,Boston Beer Company
Beatrice Bowen,Ipswich Porter,Cape Ann Brewing
Emilie Hunter,Harpoon Brown Session Ale,Cape Ann Brewing
Ethel Conner,Harpoon Celtic Ale,Mercury Brewing Company
Julian Rodriquez,Samuel Adams Hallertau Imperial Pilsner,Cape Ann Brewing
Leonard Hawkins,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Cape Ann Brewing
Clyde Barrett,Harpoon Winter Warmer,Harpoon Brewery - Boston
Lora Schneider,Samuel Adams Honey Porter,Harpoon Brewery - Boston
Danny Wilson,Samuel Adams Triplebock 1994,New Century Brewing Company
Cordelia Hudson,Olde #8 Anniversary Ale,John Harvard's Brew House - Harvard Square
Annie Caldwell,Half in the Bagpipe,Element Brewing Company
Craig Reid,Cascade IPA,John Harvard's Brew House - Framingham
Johanna Clark,Ipswich Nut Brown,Boston Beer Company
Maude Bass,Patriots Pilsner,John Harvard's Brew House - Framingham
Abbie Tate,Samuel Adams Honey Porter,Harpoon Brewery - Boston
Isabel Gregory,Harpoon Celtic Ale,Wachusetts Brewing Company
Leroy Diaz,Samuel Adams Irish Red,Boston Beer Company
Gene Ray,Samuel Adams Blackberry Witbier,Element Brewing Company
Marcus Cole,Longshot Black Lager,Commonwealth Brewing #1
Bertha Wilkerson,Holyoke Dam Ale,Cape Ann Brewing
