drinker,beer
Clyde Burns,India Pale Ale
Clyde Burns,Amber Weizen
Alice Reid,Trumpeter
Alice Reid,Blacktop Porter
Louise Stone,Tacoma Brew
Louise Stone,Islander Pale Ale
Alex Hopkins,Skibbereen Stout
Alex Hopkins,Oktoberfest
Fanny Patterson,Pseudo Lambic Framboise
Fanny Patterson,Brown's Point ESB
Clarence Tate,Snow Cap
Clarence Tate,Auld Acquaintance Spiced Ale
Jimmy Vega,Bottleworks IPA
Jimmy Vega,Pyramid Apricot Weizen
Joseph Patterson,Yellowjacket Pale Ale
Joseph Patterson,Nebraska Bitter
Anthony Waters,Baron Oktoberfest
Anthony Waters,Pyramid Broken Rake
Danny Sanders,Amber Ale
Danny Sanders,The Immortal IPA
Pearl Daniels,India Pale Ale
Pearl Daniels,Mt. Takhoma Blonde Ale
Rebecca Anderson,Scotch brand Ale
Rebecca Anderson,Frosty Frog
Sam Valdez,Winterhook Robust Winter Ale 2000
Sam Valdez,The Immortal IPA
Cody Gregory,Whistling Pig Hefeweizen
Cody Gregory,Curve Ball
Randy Sutton,Yo Ho Ho Christmas Ale 2001
Randy Sutton,Black Hook Porter
Augusta Sherman,Krystal Weizen
Augusta Sherman,Driftwood Ale
Pauline Hoffman,Belgian White
Pauline Hoffman,Prime Time Pale Ale
Edward Boone,Krystal Weizen
Edward Boone,Irish Stout
Cynthia Maldonado,Pyramid Thunderhead IPA
Cynthia Maldonado,Amber Ale
Benjamin Colon,Point Defiance IPA
Benjamin Colon,Oktoberfest
Elijah Frank,Troll Porter
Elijah Frank,Hefe-Weizen
Myrtle Brock,Vashon Old Stock Ale
Myrtle Brock,Red Card Lager
Loretta Carson,Winterhook Robust Winter Ale 2000
Loretta Carson,Winterhook Robust Winter Ale 1993
Stella Matthews,Wheat Beer
Stella Matthews,Peacemaker Porter
Bernard Weaver,El Jefe Weizen Ale
Bernard Weaver,Drawbridge Blonde
Andrew Owens,Detonator Doppelbock
Andrew Owens,Monkfish Tripel
Georgia Walton,Steamer Glide Stout
Georgia Walton,Frosty Frog
