bar,beer,drinker
Black Tooth Brewing Company,Hart Espresso Stout,Lucille Martinez
Branchline Brewing Company,Portage Bay Pilsener,Hilda Davidson
BuckleDown Brewing,Wee Heavy Winter Ale,Mina Nunez
Surly Brewing Company,Lava Rock Porter,Louis Curry
Stone Coast Brewing Company,Old Bawdy 2006,Rachel Ferguson
Big Choice Brewing,IPA,Josie Reed
Payette Brewing Company,Pale Ale,Lucy Olson
Aviator Brewing Company,Trombipulator,Dennis Hayes
Orlison Brewing Company,Possession Porter,Amanda Mathis
Temperance Beer Company,India Pale Ale,Esther Garrett
Moat Mountain Smoke House & Brew...,ESB,Hallie Barrett
Indiana City Brewing,Coal Creek Porter,Gavin Stevens
Rogue Ales,Curve Ball,Maria Baldwin
Portside Brewery,Avatar Jasmine IPA,Nelle Fox
Confluence Brewing Company,Steamer Glide Stout,Elijah Jackson
Core Brewing & Distilling Company,Kilt Lifter Scotch Ale,Mable Cohen
Ipswich Ale Brewery,Amber Weizen,Bessie Perry
Macon Beer Company,Auld Acquaintance Spiced Ale,Willie Peterson
Due South Brewing Company,Traditional ESB,Marian Colon
Southampton Publick House,Blacktop Porter,Jerry Benson
Brew Bus Brewing,Thunder Head IPA,Francis Cross
Sierra Nevada Brewing Company,Hammerhead Ale,Roger Morris
Piney River Brewing Company,Old Woody 2005,Blake Chavez
Mustang Brewing Company,Hoptoberfest,Eliza Pearson
Madtree Brewing Company,Pale Ale,Garrett Douglas
Against the Grain Brewery,DPA,Johanna West
Modern Monks Brewery,Snow Melt Nitrogen Pale,Lillie Newton
Boulevard Brewing Company,Imperial Stout,Fannie Schwartz
Sprecher Brewing Company,Bottleworks IPA,Ruth Cole
Stone Coast Brewing Company,Wild Salmon Pale Ale,Chad Drake
Worthy Brewing Company,First Flight Amber Ale,Mittie Spencer
Downeast Cider House,Barnstormer Brown Ale,Georgia Patrick
Dave's Brewfarm,Steamer Glide Stout,Lina Dennis
Ipswich Ale Brewery,Curve Ball,Polly Walters
Round Guys Brewing,Skibbereen Stout,Leon Larson
Founders Brewing Company,Lava Rock Porter,Estella Parker
Platform Beer Company,LaConner Pilsener,Olga Jones
River North Brewery,Wheat Hook,Isabella Baldwin
Tin Roof Brewing Company,Afterburner IPA,Lillie Mack
Claremont Craft Ales,Skagit Brown Ale,Paul Mills
Karbach Brewing Company,Moss Bay Extra,Devin Robertson
Bold City Brewery,Weisse,Jay McGuire
Triangle Brewing Company,Slam Dunkelweizen,Norman Paul
Blue Blood Brewing Company,WinterFish Ale,Lucille Clarke
Lost Rhino Brewing Company,Vashon Old Stock Ale,Vera Craig
Straub Brewery,Detonator Doppelbock,Bess Austin
Buffalo Bayou Brewing Company,Skibbereen Stout,James Parks
"Woodstock Inn, Station & Brewery",Catalina Common Lager,Lela Armstrong
Midnight Sun Brewing Company,XXXXX Stout,Amy Johnson
Spiteful Brewing Company,Amber Ale,Alvin Wilkins
Four Horsemen Brewing Company,IPA,Julian Sharp
Third Street Brewhouse,Pyramid Hefe Weizen,Mollie Graves
Taxman Brewing Company,Skibbereen Stout,Devin Farmer
Grimm Brothers Brewhouse,No Doubt Stout,Chad Poole
Great Northern Brewing Company,Hefe-Weizen,Nina Carson
Brooklyn Brewery,Mudshark Porter,Shane Paul
Kalona Brewing Company,Golden,Flora Porter
Independence Brewing Company,Hammerhead Ale,Henry Cunningham
King Street Brewing Company,Pale Ale,Winnie Walters
Big Sky Brewing Company,Curve Ball,Lydia Harper
Jack's Abby Craft Lagers,Firkin IPA,Claudia Harmon
Elevator Brewing Company,Barleywine,Zachary Blake
Dead Armadillo Craft Brewing,IPA,Elva Chapman
Tommyknocker Brewery,Hefeweizen,Joel Tyler
Core Brewing & Distilling Company,Imperial Stout,Sam Tucker
Boston Beer Company,Hefe-Weizen,Marie Barnett
Rhinegeist Brewery,Golden,Dominic Jefferson
Kulshan Brewery,Riot Ale,Ethan Richardson
Summit Brewing Company,Brown's Point ESB,Cynthia Craig
Schlafly Brewing Company,Three Threads Porter,Myrtle Phillips
Crazy Mountain Brewing Company,Heat Seeker Hefe,Bessie Thompson
Bold City Brewery,Irish Style Ale,Viola Harvey
Telluride Brewing Company,Puget Brown Porter,Julian Craig
Black Shirt Brewing Company,IPA,Bertha Rogers
Twisted X Brewing Company,Amber Ale,Jackson Armstrong
Newburyport Brewing Company,Old Rip Oatmeal Stout,Timothy Watts
Frog Level Brewing Company,XXXXX Stout,Lillie Zimmerman
Mikkeller,Weissbier,Louisa Poole
Grimm Brothers Brewhouse,I.M. Pale,Lydia Craig
The Right Brain Brewery,Puget Porter,Brian Zimmerman
Rising Tide Brewing Company,Farm Frog,Isabella Lyons
Horny Goat Brew Pub,Warminster Special Bitter,Harvey Allison
Hopworks Urban Brewery,E.S.B.,Eliza Maldonado
Utah Brewers Cooperative,India Pale Ale,Wesley Greene
Bare Hands Brewery,Spitfire Best Bitter,Rhoda Rice
Hop Farm Brewing Company,Old Seattle Lager,Paul Carson
Ozark Beer Company,Weissbier,Leon McLaughlin
Lift Bridge Brewing Company,Wheat Hook,Marion Morales
Surly Brewing Company,Alembic Pale,Alvin Alvarado
Buckeye Brewing,Nut Brown,Calvin Bass
Evil Twin Brewing,Red Card Lager,Martin Klein
Wormtown Brewery,Snow Melt Nitrogen Pale,Isabel Hardy
Marble Brewery,India Pale Ale,Jeffrey Barnes
Bonfire Brewing Company,Pale Ale,Jerry Phillips
Banner Beer Company,Luna Weizen,Minnie Hubbard
Bale Breaker Brewing Company,Tacoma Brew,Justin McKenzie
Right Brain Brewery,Pyramid Broken Rake,Maurice Rice
Ciderboys,Blacktop Porter,Ruth Banks
Jailbreak Brewing Company,Trombipulator,Maud Alvarez
Glabrous Brewing Company,Scarlet Fire IPA,Victor Harmon
Platform Beer Company,Islander Pale Ale,Helena Zimmerman
Central Coast Brewing Company,Porter,Floyd Montgomery
Bold City Brewery,Pinnacle Peak Pale Ale,Belle Cannon
Old Forge Brewing Company,Thunder Head IPA,Harvey Luna
Schilling & Company,Firehouse Red,Ethan Morrison
Bell's Brewery,Yo Ho Ho Christmas Ale 2001,Rachel Logan
Daredevil Brewing Company,I.M. Pale,Matilda Lopez
Boston Beer Company,Bock,Essie Farmer
Armstrong Brewing Company,Oatmeal Stout,Willie Grant
MillKing It Productions,Scarlet Fire IPA,Georgia Walton
Blue Mountain Brewery,Imperial Pale,Max Cole
Tin Roof Brewing Company,Redhook Long Hammer IPA,Walter Dixon
Smartmouth Brewing Company,Scotch brand Ale,Craig Burke
Daredevil Brewing Company,Icebreaker Barley Wine,Luis Tucker
Blue Hills Brewery,Organic Amber Ale,Georgia Colon
Laughing Dog Brewing Company,Slam Dunkelweizen,Stella Webb
Chapman's Brewing,Amber Ale,David Mills
Wild Onion Brewing Company,Grand Cru,Alta Haynes
Grey Sail Brewing Company,Spring Bock,Julian Craig
Grimm Brothers Brewhouse,Oktoberfest,Calvin Snyder
Berkshire Brewing Company,Hoptoberfest,Anne Rodriquez
Macon Beer Company,Firkin IPA,Christopher Graham
Headlands Brewing Company,Doppel Bock,Jack Andrews
Cisco Brewers,Baron Helles Bock,Helen Andrews
Bohemian Brewery,Weissbier,Rachel Stokes
Night Shift Brewing,Pseudo Lambic Framboise,Mittie Cooper
Rogue Ales,Pilsner,Lulu Singleton
Fort Pitt Brewing Company,Pilsner,Herman Massey
Swashbuckler Brewing Company,Trumpeter,Warren Underwood
Grapevine Craft Brewery,Yo Ho Ho Christmas Ale 2001,Flora Porter
Boulder Beer Company,Amber Ale,Dollie Freeman
MillKing It Productions,Baron Pilsner,Jessie Ortega
Dry Dock Brewing Company,Organic India Pale Ale,Randall Graham
RoughTail Brewing Company,Porter,Jayden Peterson
Creature Comforts,Amber Ale,Max Barker
Hops & Grain Brewery,Nut Brown Ale,Sean Ford
Lewis and Clark Brewing Company,Driftwood Ale,Dora Crawford
Sun King Brewing Company,Scotch brand Ale,Hattie Mitchell
Sunken City Brewing Company,Wild Banshee Barleywine,Angel Flores
Pyramid Breweries,Blind Pig Dunkelweizen,Jennie Silva
Hess Brewing Company,Firkin IPA,Mae Rodriguez
Peace Tree Brewing Company,Mt. Takhoma Blonde Ale,Callie Hale
Otter Creek Brewing,Barley Wine Ale,Jeanette Goodwin
Grand Canyon Brewing Company,Scotch brand Ale,Theodore Diaz
The Right Brain Brewery,Admiral ESB,Ellen Wagner
Thunderhead Brewing Company,Organic India Pale Ale,Seth Daniel
Lazy Monk Brewing,Porter,Max Cunningham
Jack's Hard Cider (Hauser Estate...,Bourbon Barrel Stout,Jerry Vasquez
Big Choice Brewing,Firkin IPA,Jimmy Lane
Crooked Fence Brewing Company,Rat City IPA,Alex Warner
Hops & Grain Brewery,Bourbon Barrel Stout,Jimmy Gutierrez
SanTan Brewing Company,Blacktop Porter,Myrtle Reed
Cottrell Brewing,Pyramid Thunderhead IPA,Mattie Barber
Cape Ann Brewing Company,Nebraska Bitter,Adelaide Richardson
Wiseacre Brewing Company,Danger Ale,Jay Sullivan
Lonerider Brewing Company,Moss Bay Extra,Marcus Clayton
Catawba Brewing Company,Red Menace Big Amber,Elmer Welch
Wynkoop Brewing Company,Baron Helles Bock,Gilbert Hampton
Jailbreak Brewing Company,Clipper Gold Hefeweizen,Maude Rios
Center of the Universe Brewing C...,The Wise ESB,Mark Mann
Mavericks Beer Company,Hefeweizen,Carrie Powers
Astoria Brewing Company,Pale Ale,Winnie Wells
Mavericks Beer Company,Puget Brown Porter,Bruce Neal
Sea Dog Brewing Company,Steamer Glide Stout,Timothy Maldonado
Denver Beer Company,India Pale Ale,Christine Brock
Burn 'Em Brewing,Kirkland Ale,Adeline Day
Manzanita Brewing Company,Thunder Head IPA,Billy Ferguson
Sea Dog Brewing Company,Monkfish Tripel,Maud Alvarez
Fearless Brewing Company,ESB,Ophelia Matthews
Anchor Brewing Company,Black Mulligan Dublin Stout,Jayden Chavez
Mogollon Brewing Company,Extra Special Bitter,Chad Ray
Orpheus Brewing,Red Menace Big Amber,Francis Carson
Lucette Brewing Company,XXXXX Stout,Georgie Holland
Two Beers Brewing Company,Trombipulator,Jared Jefferson
James Page Brewing Company,Nut Brown Ale,Alexander Murphy
Emerald City Beer Company,Snow Cap,Mattie Bennett
Kulshan Brewery,Moss Bay Extra,Lura Burgess
Stillwater Artisanal Ales,Baron Pilsner,Andrew Ward
Goose Island Brewing Company,Mt. Takhoma Blonde Ale,Katie Summers
RoughTail Brewing Company,Double Diamond Winter,Nellie Wolfe
Bonfire Brewing Company,Salmon Bay E.S.B.,Eugenia Keller
18th Street Brewery,Icebreaker Barley Wine,Olga Fisher
Butternuts Beer and Ale,Wild Banshee Barleywine,Jim Ward
Bonfire Brewing Company,LaConner Pilsener,Martha Munoz
James Page Brewing Company,Nightwatch Dark Ale,Shane Jensen
The Right Brain Brewery,Homeport Blonde,Jerry Conner
Pipeworks Brewing Company,Driftwood Ale,Edith Hill
Crabtree Brewing Company,Salmon Bay E.S.B.,Glen Rodriquez
Ska Brewing Company,Yo Ho Ho Christmas Ale 2001,Hettie Brooks
Northwoods Brewpub,Rye,Christopher Ramos
Southern Oregon Brewing Company,Weissbier,Justin Wade
Hale's Ales,Danger Ale,Chad Poole
Right Brain Brewery,Skagit Brown Ale,Mathilda Francis
Good Life Brewing Company,Organic Amber Ale,Justin Bailey
Emerald City Beer Company,Clipper Gold Hefeweizen,Francis West
Covington Brewhouse,Moss Bay Extra,Marian Colon
Long Trail Brewing Company,Coal Creek Porter,Peter Roberson
Good Life Brewing Company,Whistling Pig Hefeweizen,Gerald Cross
Greenbrier Valley Brewing Company,Danger Ale,Andrew Padilla
Saint Archer Brewery,Red Card Lager,Beatrice Fields
Cans Bar and Canteen,Brown's Point ESB,Roger Martin
Uncle John's Fruit House Winery,Trumpeter,Adele Ford
Liquid Hero Brewery,Amber Ale,Brandon Oliver
Flesk Brewing Company,Imperial Stout,Derek Larson
Otter Creek Brewing,Skibbereen Stout,Jason McGee
Big Lake Brewing,Baron Pilsner,Mittie Chandler
Big River Brewing Company,Three Threads Porter,Madge Klein
Bent Brewstillery,Blonde Ale,Genevieve Erickson
Cottrell Brewing,Hefeweizen,Myrtie Rodriquez
Weston Brewing Company,First Flight Amber Ale,Linnie Wood
Beer Works Brewery,Mongoose IPA,Abbie Coleman
Asher Brewing Company,Nebraska Bitter,Blanche Wilkins
James Page Brewing Company,Admiral ESB,Adeline Miller
New England Brewing Company,Alki Ale,Effie Ferguson
Liquid Hero Brewery,DPA,Mable Olson
Covington Brewhouse,Old Woody 2005,Katie Larson
Otter Creek Brewing,Thunder Head IPA,Herman Massey
Upland Brewing Company,Ambrosia Maibock,Clayton Reynolds
Griffin Claw Brewing Company,Thornton Creel Ale,Martin Newman
Astoria Brewing Company,Bourbon Barrel Stout,Vernon Brady
Northampton Brewery,Roza Reserve,Ida Mack
Pikes Peak Brewing Company,Detonator Doppelbock,Etta Bush
Rhinegeist Brewery,Loki,Victor Rodriquez
Asher Brewing Company,Hefeweizen,Garrett Mills
Big Bend Brewing Company,Skibbereen Stout,Randy Allen
Emerald City Beer Company,Zephyrus Pilsner,Albert Stanley
Newburgh Brewing Company,Red Menace Big Amber,Shane Jensen
West Sixth Brewing,The Immortal IPA,Alejandro Collins
4 Hands Brewing Company,Yellowjacket Pale Ale,Verna Copeland
